keyword,source_type,source_title,source_author,source_url,comment_id,author_name,author_url_token,content,like_count,created_time,is_reply,reply_to
AI代聊,article,【独家发布】关于我用<em>AI</em>智能体<em>代聊</em>之后 成了最“懂”女生的人，内测版处男学员用了一天就脱单了的事,坚哥破局,https://zhuanlan.zhihu.com/p/1981465824683372743,11396770648,马可,ma-ke-87-18,请问怎么使用,0,2026-01-19 22:13:25,False,
AI代聊,article,【独家发布】关于我用<em>AI</em>智能体<em>代聊</em>之后 成了最“懂”女生的人，内测版处男学员用了一天就脱单了的事,坚哥破局,https://zhuanlan.zhihu.com/p/1981465824683372743,11397539051,坚哥破局,henry-10-3,小程序 拍拖恋语,0,2026-01-20 13:50:46,True,
AI代聊,answer,,K16b,https://www.zhihu.com/question/1948857350749423343/answer/1949580252020991427,11292997539,风雨飘摇的世界,mmnnnnn-11,用ai回答为什么不标注下？用ai回答有什么意义？,0,2025-09-19 16:14:04,False,
AI代聊,answer,,K16b,https://www.zhihu.com/question/1948857350749423343/answer/1949580252020991427,11308484138,K16b,k16b,学题主,1,2025-10-07 11:57:05,True,
AI代聊,answer,,K16b,https://www.zhihu.com/question/1948857350749423343/answer/1949580252020991427,11286843763,起司奶橘猫,86-93-7-46,但是我像网上有一种说法，在b站看着的，说你给AI下某种口令，如果下一种口令说你是一个二十五岁，懂得风趣幽默的男生。避免AI跟你瞎说八道，跟你瞎生成一些问题，那这样就太社死了。,0,2025-09-12 19:36:09,False,
AI代聊,answer,,K16b,https://www.zhihu.com/question/1948857350749423343/answer/1949580252020991427,11293202343,风雨飘摇的世界,mmnnnnn-11,你的问题也是用ai写吧，ai味太冲,0,2025-09-19 16:15:16,True,
AI代聊,answer,,白鸽鹰,https://www.zhihu.com/question/2016930184062789503/answer/2021898823455262061,11461062940,部落小率,89-97-68-73-54,引发思考[赞同],1,2026-04-13 19:48:17,False,
AI代聊,answer,,白鸽鹰,https://www.zhihu.com/question/2016930184062789503/answer/2021898823455262061,11463920097,白鸽鹰,xiao-yang-89-52-74-85,[感谢][感谢][感谢],0,2026-04-17 18:29:53,True,
AI代聊,answer,,白鸽鹰,https://www.zhihu.com/question/2016930184062789503/answer/2021898823455262061,11450640570,有头发的光头强,80-5-58-30-41,双方都让AI替自己寻找另一半儿，最后AI成功配对，双方互不相识[飙泪笑][赞][赞][赞][赞],1,2026-03-31 12:35:19,False,
AI代聊,answer,,白鸽鹰,https://www.zhihu.com/question/2016930184062789503/answer/2021898823455262061,11451232324,白鸽鹰,xiao-yang-89-52-74-85,[大笑][大笑],1,2026-03-31 21:41:53,True,
AI代聊,answer,,白鸽鹰,https://www.zhihu.com/question/2016930184062789503/answer/2021898823455262061,11450500690,天使的守护神,4-93-21-87,作者分析的很对！[赞][赞][赞]AI始终是需要人来主导的。,1,2026-03-30 17:02:21,False,
AI代聊,answer,,白鸽鹰,https://www.zhihu.com/question/2016930184062789503/answer/2021898823455262061,11451232330,白鸽鹰,xiao-yang-89-52-74-85,[感谢][感谢][感谢],1,2026-03-31 21:42:05,True,
AI代聊,answer,,白鸽鹰,https://www.zhihu.com/question/2016930184062789503/answer/2021898823455262061,11449885168,哦豁,13-88-24-76-51,把握机会[赞][赞同][思考],1,2026-03-30 11:45:01,False,
AI代聊,answer,,白鸽鹰,https://www.zhihu.com/question/2016930184062789503/answer/2021898823455262061,11451174129,白鸽鹰,xiao-yang-89-52-74-85,[感谢][感谢][感谢],0,2026-03-31 21:42:19,True,
AI代聊,answer,,白鸽鹰,https://www.zhihu.com/question/2016930184062789503/answer/2021898823455262061,11450805715,悟道,13-67-96-54,AI势必会摧毁所有行业，也会重塑所有行业。[赞],1,2026-03-31 09:38:10,False,
AI代聊,answer,,白鸽鹰,https://www.zhihu.com/question/2016930184062789503/answer/2021898823455262061,11451232322,白鸽鹰,xiao-yang-89-52-74-85,[感谢][感谢][感谢],1,2026-03-31 21:41:48,True,
